기준_날짜,승차_역,하차_역,승차시간,인원수
20250504,강남,강남,4,1
20250504,강남,강남,5,7
20250504,강남,강남,6,6
20250504,강남,강남,7,5
20250504,강남,강남,8,9
20250504,강남,강남,9,7
20250504,강남,강남,10,22
20250504,강남,강남,11,15
20250504,강남,강남,12,12
20250504,강남,강남,13,25
20250504,강남,강남,14,20
20250504,강남,강남,15,28
20250504,강남,강남,16,31
20250504,강남,강남,17,34
20250504,강남,강남,18,19
20250504,강남,강남,19,25
20250504,강남,강남,20,23
20250504,강남,강남,21,35
20250504,강남,강남,22,20
20250504,강남,강남,23,37
20250504,강남,강변(동서울터미널),4,2
20250504,강남,강변(동서울터미널),5,3
20250504,강남,강변(동서울터미널),6,10
20250504,강남,강변(동서울터미널),7,16
20250504,강남,강변(동서울터미널),8,19
20250504,강남,강변(동서울터미널),9,31
20250504,강남,강변(동서울터미널),10,23
20250504,강남,강변(동서울터미널),11,25
20250504,강남,강변(동서울터미널),12,27
20250504,강남,강변(동서울터미널),13,25
20250504,강남,강변(동서울터미널),14,53
20250504,강남,강변(동서울터미널),15,40
20250504,강남,강변(동서울터미널),16,50
20250504,강남,강변(동서울터미널),17,43
20250504,강남,강변(동서울터미널),18,34
20250504,강남,강변(동서울터미널),19,39
20250504,강남,강변(동서울터미널),20,29
20250504,강남,강변(동서울터미널),21,32
20250504,강남,강변(동서울터미널),22,34
20250504,강남,강변(동서울터미널),23,24
20250504,강남,건대입구,6,6
20250504,강남,건대입구,7,4
20250504,강남,건대입구,8,15
20250504,강남,건대입구,9,15
20250504,강남,건대입구,10,33
20250504,강남,건대입구,11,44
20250504,강남,건대입구,12,29
20250504,강남,건대입구,13,52
20250504,강남,건대입구,14,51
20250504,강남,건대입구,15,43
20250504,강남,건대입구,16,53
20250504,강남,건대입구,17,92
20250504,강남,건대입구,18,74
20250504,강남,건대입구,19,58
20250504,강남,건대입구,20,42
20250504,강남,건대입구,21,61
20250504,강남,건대입구,22,76
20250504,강남,건대입구,23,31
20250504,강남,교대(법원.검찰청),5,3
20250504,강남,교대(법원.검찰청),6,2
20250504,강남,교대(법원.검찰청),7,6
20250504,강남,교대(법원.검찰청),8,7
20250504,강남,교대(법원.검찰청),9,24
20250504,강남,교대(법원.검찰청),10,13
20250504,강남,교대(법원.검찰청),11,30
20250504,강남,교대(법원.검찰청),12,26
20250504,강남,교대(법원.검찰청),13,39
20250504,강남,교대(법원.검찰청),14,42
20250504,강남,교대(법원.검찰청),15,45
20250504,강남,교대(법원.검찰청),16,42
20250504,강남,교대(법원.검찰청),17,43
20250504,강남,교대(법원.검찰청),18,42
20250504,강남,교대(법원.검찰청),19,30
20250504,강남,교대(법원.검찰청),20,29
20250504,강남,교대(법원.검찰청),21,35
