기준_날짜,승차_역,하차_역,승차시간,인원수
20250514,강남,강남,0,11
20250514,강남,강남,4,1
20250514,강남,강남,5,1
20250514,강남,강남,6,5
20250514,강남,강남,8,12
20250514,강남,강남,9,11
20250514,강남,강남,10,14
20250514,강남,강남,11,20
20250514,강남,강남,12,35
20250514,강남,강남,13,28
20250514,강남,강남,14,45
20250514,강남,강남,15,45
20250514,강남,강남,16,38
20250514,강남,강남,17,53
20250514,강남,강남,18,105
20250514,강남,강남,19,47
20250514,강남,강남,20,33
20250514,강남,강남,21,55
20250514,강남,강남,22,48
20250514,강남,강남,23,17
20250514,강남,강변(동서울터미널),0,5
20250514,강남,강변(동서울터미널),5,4
20250514,강남,강변(동서울터미널),6,8
20250514,강남,강변(동서울터미널),7,16
20250514,강남,강변(동서울터미널),8,18
20250514,강남,강변(동서울터미널),9,29
20250514,강남,강변(동서울터미널),10,23
20250514,강남,강변(동서울터미널),11,40
20250514,강남,강변(동서울터미널),12,34
20250514,강남,강변(동서울터미널),13,36
20250514,강남,강변(동서울터미널),14,39
20250514,강남,강변(동서울터미널),15,55
20250514,강남,강변(동서울터미널),16,91
20250514,강남,강변(동서울터미널),17,139
20250514,강남,강변(동서울터미널),18,241
20250514,강남,강변(동서울터미널),19,138
20250514,강남,강변(동서울터미널),20,81
20250514,강남,강변(동서울터미널),21,147
20250514,강남,강변(동서울터미널),22,102
20250514,강남,강변(동서울터미널),23,40
20250514,강남,건대입구,0,19
20250514,강남,건대입구,5,3
20250514,강남,건대입구,6,9
20250514,강남,건대입구,7,20
20250514,강남,건대입구,8,35
20250514,강남,건대입구,9,25
20250514,강남,건대입구,10,31
20250514,강남,건대입구,11,33
20250514,강남,건대입구,12,57
20250514,강남,건대입구,13,46
20250514,강남,건대입구,14,61
20250514,강남,건대입구,15,54
20250514,강남,건대입구,16,69
20250514,강남,건대입구,17,140
20250514,강남,건대입구,18,241
20250514,강남,건대입구,19,129
20250514,강남,건대입구,20,92
20250514,강남,건대입구,21,106
20250514,강남,건대입구,22,110
20250514,강남,건대입구,23,40
20250514,강남,교대(법원.검찰청),0,8
20250514,강남,교대(법원.검찰청),5,4
20250514,강남,교대(법원.검찰청),6,12
20250514,강남,교대(법원.검찰청),7,59
20250514,강남,교대(법원.검찰청),8,131
20250514,강남,교대(법원.검찰청),9,119
20250514,강남,교대(법원.검찰청),10,120
20250514,강남,교대(법원.검찰청),11,117
20250514,강남,교대(법원.검찰청),12,95
20250514,강남,교대(법원.검찰청),13,134
20250514,강남,교대(법원.검찰청),14,111
20250514,강남,교대(법원.검찰청),15,115
20250514,강남,교대(법원.검찰청),16,93
